,OBJECTID,EVENT_UNIQUE_ID,REPORT_DATE,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,MCI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,x,y
11,12,GO-20141293398,1/6/2014 5:00:00 AM,12/17/2013 5:00:00 AM,2014,January,6,6,Monday    ,19,2013.0,December,17.0,351.0,Tuesday   ,12,D22,Bar / Restaurant,Commercial,2130,210,Theft Over,Theft Over,016,Stonegate-Queensway (16),016,Stonegate-Queensway (16),-79.502621715766,43.6263327083827,-8850191.36615537,5407797.23405039
12,13,GO-20141301110,1/7/2014 5:00:00 AM,1/7/2014 5:00:00 AM,2014,January,7,7,Tuesday   ,22,2014.0,January,7.0,7.0,Tuesday   ,22,D33,"Apartment (Rooming House, Condo)",Apartment,2130,200,Theft From Mail / Bag / Key,Theft Over,150,Fenside-Parkwoods (150),045,Parkwoods-Donalda (45),-79.3331573621976,43.7604327169569,-8831326.68056048,5428443.13358104
13,14,GO-20141306704,1/8/2014 5:00:00 AM,1/8/2014 5:00:00 AM,2014,January,8,8,Wednesday ,22,2014.0,January,8.0,8.0,Wednesday ,15,D53,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,056,Leaside-Bennington (56),056,Leaside-Bennington (56),-79.3598002058392,43.7146273621685,-8834292.54838785,5421385.79486786
14,15,GO-20141302953,1/8/2014 5:00:00 AM,1/8/2014 5:00:00 AM,2014,January,8,8,Wednesday ,9,2014.0,January,8.0,8.0,Wednesday ,2,D23,"Construction Site (Warehouse, Trailer, Shed)",Commercial,2130,210,Theft Over,Theft Over,001,West Humber-Clairville (1),001,West Humber-Clairville (1),-79.584959664527,43.6783367669192,-8859357.18471101,5415798.24672795
15,16,GO-20141312296,1/9/2014 5:00:00 AM,12/26/2013 5:00:00 AM,2014,January,9,9,Thursday  ,17,2013.0,December,26.0,360.0,Thursday  ,14,D23,"Other Non Commercial / Corporate Places (Non-Profit, Gov'T, Firehall)",Other,2130,210,Theft Over,Theft Over,001,West Humber-Clairville (1),001,West Humber-Clairville (1),-79.5883877172757,43.7026180248864,-8859738.79371407,5419536.38082453
16,17,GO-20141309782,1/9/2014 5:00:00 AM,1/9/2014 5:00:00 AM,2014,January,9,9,Thursday  ,10,2014.0,January,9.0,9.0,Thursday  ,10,D31,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,022,Humbermede (22),022,Humbermede (22),-79.5327816985659,43.7494831794038,-8853548.76010526,5426755.6214038
17,18,GO-20141310140,1/9/2014 5:00:00 AM,12/6/2013 5:00:00 AM,2014,January,9,9,Thursday  ,12,2013.0,December,6.0,340.0,Friday    ,3,D55,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,070,South Riverdale (70),070,South Riverdale (70),-79.3309632098929,43.6712993711863,-8831082.42867711,5414715.11241258
18,19,GO-20141309789,1/9/2014 5:00:00 AM,1/8/2014 5:00:00 AM,2014,January,9,9,Thursday  ,12,2014.0,January,8.0,8.0,Wednesday ,12,D53,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,056,Leaside-Bennington (56),056,Leaside-Bennington (56),-79.3682625931071,43.715695648177,-8835234.57699957,5421550.3267392
19,20,GO-20141303907,1/9/2014 5:00:00 AM,1/6/2014 5:00:00 AM,2014,January,9,9,Thursday  ,11,2014.0,January,6.0,6.0,Monday    ,0,D23,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,001,West Humber-Clairville (1),001,West Humber-Clairville (1),-79.5843508749084,43.6774150628525,-8859289.41451821,5415656.37889725
20,21,GO-20141315465,1/10/2014 5:00:00 AM,1/9/2014 5:00:00 AM,2014,January,10,10,Friday    ,8,2014.0,January,9.0,9.0,Thursday  ,22,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),-79.3998449342807,43.6525390924726,-8838750.30711776,5411828.3150912
21,22,GO-20141335936,1/11/2014 5:00:00 AM,1/11/2014 5:00:00 AM,2014,January,11,11,Saturday  ,16,2014.0,January,11.0,11.0,Saturday  ,16,D33,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,047,Don Valley Village (47),047,Don Valley Village (47),-79.3594982404818,43.7733450049187,-8834258.93368648,5430433.53618255
22,23,GO-20141318041,1/11/2014 5:00:00 AM,12/1/2013 5:00:00 AM,2014,January,11,11,Saturday  ,0,2013.0,December,1.0,335.0,Sunday    ,0,D51,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),-79.3801027493832,43.6636958027995,-8836552.61713641,5413544.98059826
23,24,GO-20141326157,1/11/2014 5:00:00 AM,1/11/2014 5:00:00 AM,2014,January,11,11,Saturday  ,21,2014.0,January,11.0,11.0,Saturday  ,21,D14,"Apartment (Rooming House, Condo)",Apartment,2132,200,Theft From Motor Vehicle Over,Theft Over,163,Fort York-Liberty Village (163),082,Niagara (82),-79.4141529286143,43.6391704808007,-8840343.06583543,5409771.72798181
24,25,GO-20141331086,1/12/2014 5:00:00 AM,1/12/2014 5:00:00 AM,2014,January,12,12,Sunday    ,17,2014.0,January,12.0,12.0,Sunday    ,12,D32,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,040,St.Andrew-Windfields (40),040,St.Andrew-Windfields (40),-79.3982792103849,43.7509371875969,-8838576.01151935,5426979.69142724
25,26,GO-20141336659,1/13/2014 5:00:00 AM,1/13/2014 5:00:00 AM,2014,January,13,13,Monday    ,15,2014.0,January,13.0,13.0,Monday    ,15,D33,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2130,210,Theft Over,Theft Over,040,St.Andrew-Windfields (40),040,St.Andrew-Windfields (40),-79.3604151327472,43.7548446019447,-8834361.00174836,5427581.87034382
26,27,GO-20141340474,1/14/2014 5:00:00 AM,1/13/2014 5:00:00 AM,2014,January,14,14,Tuesday   ,8,2014.0,January,13.0,13.0,Monday    ,21,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,072,Regent Park (72),072,Regent Park (72),-79.362735059712,43.6594305985343,-8834619.25484068,5412888.66273017
27,28,GO-20141341993,1/14/2014 5:00:00 AM,1/14/2014 5:00:00 AM,2014,January,14,14,Tuesday   ,14,2014.0,January,14.0,14.0,Tuesday   ,13,D22,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2133,200,Theft Over - Shoplifting,Theft Over,010,Princess-Rosethorn (10),010,Princess-Rosethorn (10),-79.5576602934122,43.6756186594206,-8856318.232521,5415379.88431068
28,29,GO-20141342156,1/14/2014 5:00:00 AM,1/14/2014 5:00:00 AM,2014,January,14,14,Tuesday   ,15,2014.0,January,14.0,14.0,Tuesday   ,14,D33,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,053,Henry Farm (53),053,Henry Farm (53),-79.3490456578301,43.7683649178419,-8833095.35758077,5429665.81512718
29,30,GO-20141343564,1/14/2014 5:00:00 AM,1/12/2014 5:00:00 AM,2014,January,14,14,Tuesday   ,18,2014.0,January,12.0,12.0,Sunday    ,21,D52,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),-79.3855078408424,43.6488755879792,-8837154.30922554,5411264.68706986
30,31,GO-20141343665,1/14/2014 5:00:00 AM,1/14/2014 5:00:00 AM,2014,January,14,14,Tuesday   ,18,2014.0,January,14.0,14.0,Tuesday   ,11,D52,Other Passenger Train,Transit,2130,210,Theft Over,Theft Over,166,St Lawrence-East Bayfront-The Islands ,077,Waterfront Communities-The Island (77),-79.3790877444954,43.6459171850208,-8836439.62729666,5410809.56352826
31,32,GO-20141340641,1/14/2014 5:00:00 AM,1/14/2014 5:00:00 AM,2014,January,14,14,Tuesday   ,9,2014.0,January,14.0,14.0,Tuesday   ,9,D11,Schools During Un-Supervised Activity,Educational,2132,200,Theft From Motor Vehicle Over,Theft Over,088,High Park North (88),088,High Park North (88),-79.4750999270449,43.6576373678354,-8847127.65461817,5412612.73919447
32,33,GO-20141338731,1/14/2014 5:00:00 AM,1/13/2014 5:00:00 AM,2014,January,14,14,Tuesday   ,0,2014.0,January,13.0,13.0,Monday    ,21,D52,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),-79.3983260357608,43.6539415940946,-8838581.22416583,5412044.09833249
33,34,GO-20141347424,1/15/2014 5:00:00 AM,1/14/2014 5:00:00 AM,2014,January,15,15,Wednesday ,13,2014.0,January,14.0,14.0,Tuesday   ,23,D22,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2132,200,Theft From Motor Vehicle Over,Theft Over,009,Edenbridge-Humber Valley (9),009,Edenbridge-Humber Valley (9),-79.524611085383,43.6777089027205,-8852639.21151531,5415701.60624276
34,35,GO-20141382719,1/15/2014 5:00:00 AM,1/1/2013 5:00:00 AM,2014,January,15,15,Wednesday ,13,2013.0,January,1.0,1.0,Tuesday   ,7,D23,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,006,Kingsview Village-The Westway (6),006,Kingsview Village-The Westway (6),-79.5529147813044,43.6862192830298,-8855789.9645416,5417011.60535419
35,36,GO-20141347372,1/15/2014 5:00:00 AM,1/14/2014 5:00:00 AM,2014,January,15,15,Wednesday ,11,2014.0,January,14.0,14.0,Tuesday   ,16,D11,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,200,Theft From Mail / Bag / Key,Theft Over,088,High Park North (88),088,High Park North (88),-79.4617151204114,43.661898838167,-8845637.66471856,5413268.46287924
36,37,GO-20141350542,1/15/2014 5:00:00 AM,1/15/2014 5:00:00 AM,2014,January,15,15,Wednesday ,20,2014.0,January,15.0,15.0,Wednesday ,18,D22,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,016,Stonegate-Queensway (16),016,Stonegate-Queensway (16),-79.502621715766,43.6263327083827,-8850191.36615537,5407797.23405039
37,38,GO-20141360646,1/17/2014 5:00:00 AM,1/17/2014 5:00:00 AM,2014,January,17,17,Friday    ,12,2014.0,January,17.0,17.0,Friday    ,12,D54,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,200,Theft From Mail / Bag / Key,Theft Over,054,O'Connor-Parkview (54),054,O'Connor-Parkview (54),-79.3125046487745,43.705846089917,-8829027.63106582,5420033.46000937
38,39,GO-20141362315,1/17/2014 5:00:00 AM,6/5/2013 5:00:00 AM,2014,January,17,17,Friday    ,18,2013.0,June,5.0,156.0,Wednesday ,0,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,169,Bay-Cloverhill (169),076,Bay Street Corridor (76),-79.3856604479573,43.6675622067491,-8837171.29735907,5414139.97251363
39,40,GO-20141359688,1/17/2014 5:00:00 AM,1/15/2014 5:00:00 AM,2014,January,17,17,Friday    ,9,2014.0,January,15.0,15.0,Wednesday ,17,D22,"Construction Site (Warehouse, Trailer, Shed)",Commercial,2130,210,Theft Over,Theft Over,159,Etobicoke City Centre (159),014,Islington-City Centre West (14),-79.5275415080711,43.622795614759,-8852965.42471148,5407253.2910034
40,41,GO-20141364302,1/17/2014 5:00:00 AM,1/17/2014 5:00:00 AM,2014,January,17,17,Friday    ,23,2014.0,January,17.0,17.0,Friday    ,21,D55,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,065,Greenwood-Coxwell (65),065,Greenwood-Coxwell (65),-79.3239651105834,43.6646871665273,-8830303.40385991,5413697.53564426
41,42,GO-20141364249,1/17/2014 5:00:00 AM,1/11/2014 5:00:00 AM,2014,January,17,17,Friday    ,23,2014.0,January,11.0,11.0,Saturday  ,15,D13,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,109,Caledonia-Fairbank (109),109,Caledonia-Fairbank (109),-79.4612469915575,43.6906672798027,-8845585.55294798,5417696.35756195
42,43,GO-20141366736,1/18/2014 5:00:00 AM,1/17/2014 5:00:00 AM,2014,January,18,18,Saturday  ,11,2014.0,January,17.0,17.0,Friday    ,17,D32,"Construction Site (Warehouse, Trailer, Shed)",Commercial,2130,210,Theft Over,Theft Over,040,St.Andrew-Windfields (40),040,St.Andrew-Windfields (40),-79.402235301019,43.7472709858756,-8839016.40155501,5426414.7218932
43,44,GO-20141368890,1/18/2014 5:00:00 AM,1/18/2014 5:00:00 AM,2014,January,18,18,Saturday  ,18,2014.0,January,18.0,18.0,Saturday  ,18,D43,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2133,200,Theft Over - Shoplifting,Theft Over,138,Eglinton East (138),138,Eglinton East (138),-79.2462302443756,43.737099481041,-8821649.99804859,5424847.45246951
44,45,GO-20141367464,1/18/2014 5:00:00 AM,1/18/2014 5:00:00 AM,2014,January,18,18,Saturday  ,14,2014.0,January,18.0,18.0,Saturday  ,14,D22,"Construction Site (Warehouse, Trailer, Shed)",Commercial,2130,210,Theft Over,Theft Over,160,Mimico-Queensway (160),017,Mimico (includes Humber Bay Shores) (17),-79.4994935354827,43.6125642833415,-8849843.13863934,5405680.07121143
45,46,GO-20141372418,1/19/2014 5:00:00 AM,1/16/2014 5:00:00 AM,2014,January,19,19,Sunday    ,11,2014.0,January,16.0,16.0,Thursday  ,13,D31,"Apartment (Rooming House, Condo)",Apartment,2130,200,Theft From Mail / Bag / Key,Theft Over,021,Humber Summit (21),021,Humber Summit (21),-79.5594719893622,43.7507224873141,-8856519.90959719,5426946.60459203
46,47,GO-20141371719,1/19/2014 5:00:00 AM,1/3/2014 5:00:00 AM,2014,January,19,19,Sunday    ,8,2014.0,January,3.0,3.0,Friday    ,8,D43,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,140,Guildwood (140),140,Guildwood (140),-79.1916380986976,43.7548715958577,-8815572.82826588,5427586.03057666
47,48,GO-20141370340,1/19/2014 5:00:00 AM,1/18/2014 5:00:00 AM,2014,January,19,19,Sunday    ,0,2014.0,January,18.0,18.0,Saturday  ,23,D53,Bar / Restaurant,Commercial,2130,210,Theft Over,Theft Over,174,South Eglinton-Davisville (174),104,Mount Pleasant West (104),-79.3968254473333,43.7070787069803,-8838414.17936246,5420223.2737369
