,OBJECTID,EVENT_UNIQUE_ID,REPORT_DATE,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,MCI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,x,y
62,63,GO-20141413752,1/26/2014 5:00:00 AM,1/24/2014 5:00:00 AM,2014,January,26,26,Sunday    ,13,2014.0,January,24.0,24.0,Friday    ,13,D31,"Apartment (Rooming House, Condo)",Apartment,2130,200,Theft From Mail / Bag / Key,Theft Over,024,Black Creek (24),024,Black Creek (24),-79.5228406081341,43.7730069761634,-8852442.12291721,5430381.42423108
63,64,GO-20141414982,1/26/2014 5:00:00 AM,1/25/2014 5:00:00 AM,2014,January,26,26,Sunday    ,18,2014.0,January,25.0,25.0,Saturday  ,18,D51,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,166,St Lawrence-East Bayfront-The Islands ,077,Waterfront Communities-The Island (77),-79.3621343568586,43.6501852892888,-8834552.3848886,5411466.17988064
64,65,GO-20141413424,1/26/2014 5:00:00 AM,1/26/2014 5:00:00 AM,2014,January,26,26,Sunday    ,12,2014.0,January,26.0,26.0,Sunday    ,12,NSA,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2133,200,Theft Over - Shoplifting,Theft Over,NSA,NSA,NSA,NSA,0.0,0.0,6.327780442533911e-09,5.6649236412909e-09
65,66,GO-20141418709,1/27/2014 5:00:00 AM,1/24/2014 5:00:00 AM,2014,January,27,27,Monday    ,13,2014.0,January,24.0,24.0,Friday    ,12,D13,Bar / Restaurant,Commercial,2130,210,Theft Over,Theft Over,094,Wychwood (94),094,Wychwood (94),-79.4307438232061,43.6807150101745,-8842189.95570731,5416164.31376629
66,67,GO-20141413933,1/27/2014 5:00:00 AM,1/25/2014 5:00:00 AM,2014,January,27,27,Monday    ,19,2014.0,January,25.0,25.0,Saturday  ,14,D23,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,001,West Humber-Clairville (1),001,West Humber-Clairville (1),-79.5770716906454,43.690241416249,-8858479.09946194,5417630.79522191
67,68,GO-20141419564,1/27/2014 5:00:00 AM,1/9/2014 5:00:00 AM,2014,January,27,27,Monday    ,14,2014.0,January,9.0,9.0,Thursday  ,0,D33,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,042,Banbury-Don Mills (42),042,Banbury-Don Mills (42),-79.3593528152032,43.7458740985011,-8834242.74504954,5426199.46773648
68,69,GO-20141424403,1/28/2014 5:00:00 AM,1/27/2014 5:00:00 AM,2014,January,28,28,Tuesday   ,14,2014.0,January,27.0,27.0,Monday    ,14,D23,Unknown,Other,2132,200,Theft From Motor Vehicle Over,Theft Over,001,West Humber-Clairville (1),001,West Humber-Clairville (1),-79.5756227836026,43.7019438700339,-8858317.80787249,5419432.5732768
69,70,GO-20141427238,1/28/2014 5:00:00 AM,11/10/2013 5:00:00 AM,2014,January,28,28,Tuesday   ,19,2013.0,November,10.0,314.0,Sunday    ,12,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,081,Trinity-Bellwoods (81),081,Trinity-Bellwoods (81),-79.4120517294481,43.6507246938458,-8840109.16132138,5411549.16668653
70,71,GO-20141427641,1/28/2014 5:00:00 AM,1/24/2014 5:00:00 AM,2014,January,28,28,Tuesday   ,21,2014.0,January,24.0,24.0,Friday    ,9,D23,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,007,Willowridge-Martingrove-Richview (7),007,Willowridge-Martingrove-Richview (7),-79.5273950825903,43.6841565915509,-8852949.12475505,5416694.07915874
71,72,GO-20141433802,1/29/2014 5:00:00 AM,1/29/2014 5:00:00 AM,2014,January,29,29,Wednesday ,21,2014.0,January,29.0,29.0,Wednesday ,21,D52,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",Commercial,2130,210,Theft Over,Theft Over,165,Harbourfront-CityPlace (165),077,Waterfront Communities-The Island (77),-79.3850132407533,43.6447670838708,-8837099.2506054,5410632.63694326
